2021-07-24 03:40:04.146 +09:00 [DBG] >LOG:1627065604,I,[vpn-server.insight-inc.biz] Inactivity timeout (--ping-restart), restarting
2021-07-24 03:40:04.204 +09:00 [DBG] >LOG:1627065604,,/sbin/route delete -net 18.178.210.55 192.168.0.1 255.255.255.255
2021-07-24 03:40:04.322 +09:00 [DBG] >LOG:1627065604,,/sbin/route delete -net 0.0.0.0 172.16.0.33 128.0.0.0
2021-07-24 03:40:04.350 +09:00 [DBG] >LOG:1627065604,,/sbin/route delete -net 128.0.0.0 172.16.0.33 128.0.0.0
2021-07-24 03:40:04.355 +09:00 [DBG] >LOG:1627065604,,Closing TUN/TAP interface
2021-07-24 03:40:04.377 +09:00 [DBG] >LOG:1627065604,I,/Applications/AWS VPN Client/AWS VPN Client.app/Contents/Resources/openvpn/client.down utun2 1500 1552 172.16.0.34 255.255.255.224 init
2021-07-24 03:40:05.705 +09:00 [DBG] >LOG:1627065605,I,SIGUSR1[soft,ping-restart] received, process restarting
2021-07-24 03:40:08.478 +09:00 [DBG] >LOG:1627065605,,Restart pause, 5 second(s)
2021-07-24 03:40:10.307 +09:00 [DBG] >LOG:1627065610,W,NOTE: the current --script-security setting may allow this configuration to call user-defined scripts
2021-07-24 03:40:10.316 +09:00 [DBG] >LOG:1627065610,I,TCP/UDP: Preserving recently used remote address: [AF_INET]18.178.210.55:443
2021-07-24 03:40:10.316 +09:00 [DBG] >LOG:1627065610,,Socket Buffers: R=[786896->786896] S=[9216->9216]
2021-07-24 03:40:10.316 +09:00 [DBG] >LOG:1627065610,I,UDP link local: (not bound)
2021-07-24 03:40:10.356 +09:00 [DBG] >LOG:1627065610,I,UDP link remote: [AF_INET]18.178.210.55:443
2021-07-24 03:40:11.061 +09:00 [DBG] >LOG:1627065610,,TLS: Initial packet from [AF_INET]18.178.210.55:443, sid=b23a355b 8185c12c
2021-07-24 03:40:11.610 +09:00 [DBG] >LOG:1627065610,,VERIFY OK: depth=1, CN=insight-inc.biz
2021-07-24 03:40:11.655 +09:00 [DBG] >LOG:1627065610,,VERIFY KU OK
2021-07-24 03:40:11.666 +09:00 [DBG] >LOG:1627065610,,Validating certificate extended key usage
2021-07-24 03:40:11.794 +09:00 [DBG] >LOG:1627065610,,++ Certificate has EKU (str) TLS Web Server Authentication, expects TLS Web Server Authentication
2021-07-24 03:40:11.794 +09:00 [DBG] >LOG:1627065610,,VERIFY EKU OK
2021-07-24 03:40:11.796 +09:00 [DBG] >LOG:1627065610,,VERIFY OK: depth=0, CN=vpn-server.insight-inc.biz
2021-07-24 03:40:11.801 +09:00 [DBG] >LOG:1627065611,,Control Channel: TLSv1.2, cipher TLSv1/SSLv3 ECDHE-RSA-AES256-GCM-SHA384, 2048 bit RSA
2021-07-24 03:40:11.807 +09:00 [DBG] >LOG:1627065611,I,[vpn-server.insight-inc.biz] Peer Connection Initiated with [AF_INET]18.178.210.55:443
2021-07-24 03:40:12.601 +09:00 [DBG] >LOG:1627065612,,SENT CONTROL [vpn-server.insight-inc.biz]: 'PUSH_REQUEST' (status=1)
2021-07-24 03:40:13.010 +09:00 [DBG] >LOG:1627065612,,PUSH: Received control message: 'PUSH_REPLY,redirect-gateway def1 bypass-dhcp,route-gateway 172.16.0.33,topology subnet,ping 1,ping-restart 20,ifconfig 172.16.0.35 255.255.255.224,peer-id 1,cipher AES-256-GCM'
2021-07-24 03:40:13.152 +09:00 [DBG] >LOG:1627065612,,OPTIONS IMPORT: timers and/or timeouts modified
2021-07-24 03:40:13.153 +09:00 [DBG] >LOG:1627065612,,OPTIONS IMPORT: --ifconfig/up options modified
2021-07-24 03:40:13.153 +09:00 [DBG] >LOG:1627065612,,OPTIONS IMPORT: route options modified
2021-07-24 03:40:13.153 +09:00 [DBG] >LOG:1627065612,,OPTIONS IMPORT: route-related options modified
2021-07-24 03:40:13.156 +09:00 [DBG] >LOG:1627065612,,OPTIONS IMPORT: peer-id set
2021-07-24 03:40:13.157 +09:00 [DBG] >LOG:1627065612,,OPTIONS IMPORT: adjusting link_mtu to 1624
2021-07-24 03:40:13.157 +09:00 [DBG] >LOG:1627065612,,OPTIONS IMPORT: data channel crypto options modified
2021-07-24 03:40:13.157 +09:00 [DBG] >LOG:1627065612,,Outgoing Data Channel: Cipher 'AES-256-GCM' initialized with 256 bit key
2021-07-24 03:40:13.157 +09:00 [DBG] >LOG:1627065612,,Incoming Data Channel: Cipher 'AES-256-GCM' initialized with 256 bit key
2021-07-24 03:40:13.163 +09:00 [DBG] >LOG:1627065612,,ROUTE_GATEWAY 192.168.0.1/255.255.255.0 IFACE=en0 HWADDR=14:7d:da:32:f3:77
2021-07-24 03:40:13.168 +09:00 [DBG] >LOG:1627065612,,Opening utun (connect(AF_SYS_CONTROL)): Resource busy (errno=16)
2021-07-24 03:40:13.168 +09:00 [DBG] >LOG:1627065612,,Opening utun (connect(AF_SYS_CONTROL)): Resource busy (errno=16)
2021-07-24 03:40:13.168 +09:00 [DBG] >LOG:1627065612,I,Opened utun device utun2
2021-07-24 03:40:13.168 +09:00 [DBG] >LOG:1627065612,D,do_ifconfig, tt->did_ifconfig_ipv6_setup=0
2021-07-24 03:40:13.168 +09:00 [DBG] >LOG:1627065612,I,/sbin/ifconfig utun2 delete
2021-07-24 03:40:13.168 +09:00 [DBG] >LOG:1627065612,I,NOTE: Tried to delete pre-existing tun/tap instance -- No Problem if failure
2021-07-24 03:40:13.168 +09:00 [DBG] >LOG:1627065612,I,/sbin/ifconfig utun2 172.16.0.35 172.16.0.35 netmask 255.255.255.224 mtu 1500 up
2021-07-24 03:40:13.168 +09:00 [DBG] >LOG:1627065612,,/sbin/route add -net 172.16.0.32 172.16.0.35 255.255.255.224
2021-07-24 03:40:13.168 +09:00 [DBG] >LOG:1627065612,I,/Applications/AWS VPN Client/AWS VPN Client.app/Contents/Resources/openvpn/client.up utun2 1500 1552 172.16.0.35 255.255.255.224 init
2021-07-24 03:40:15.678 +09:00 [DBG] >LOG:1627065615,,/sbin/route add -net 18.178.210.55 192.168.0.1 255.255.255.255
